forecast_time,temperature_c,precipitation_probability,country_name,country_code,capital,ip_address,ip_country,ip_region,ip_city,ip_latitude,ip_longitude
2026-08-04 22:00:00,30.2,5,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-04 23:00:00,29.6,6,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 00:00:00,29.0,8,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 01:00:00,28.4,10,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 02:00:00,27.8,14,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 03:00:00,27.4,16,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 04:00:00,26.4,15,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 05:00:00,26.0,13,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 06:00:00,25.6,10,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 07:00:00,25.9,7,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 08:00:00,26.9,3,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 09:00:00,28.3,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 10:00:00,29.9,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 11:00:00,31.2,1,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 12:00:00,32.4,2,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 13:00:00,33.2,3,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 14:00:00,33.8,5,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 15:00:00,34.4,6,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 16:00:00,34.8,7,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 17:00:00,34.9,7,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 18:00:00,34.4,6,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 19:00:00,32.8,4,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 20:00:00,31.4,2,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 21:00:00,30.3,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 22:00:00,29.1,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-05 23:00:00,28.1,1,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
